name,location,dining rating,dining reviews,cuisine,price,address,phone,url
Cé La Vie Kitchen & Bar,"Middle Circle, Connaught Place, New Delhi",4.2,4190,"North Indian, Mediterranean, Continental, Sushi, Italian, Lebanese, Asian, Bar Food","₹2,200 for two","H-11, Ground Floor, Connaught Cir, Block H, Connaught Place, New Delhi",919090272731,https://www.zomato.com/ncr/c%C3%A9-la-vie-kitchen-bar-connaught-place-new-delhi/info
Chido,"Connaught Place, New Delhi",4.1,3371,"North Indian, Asian, Lebanese, Italian, European, Chinese, Beverages","₹2,000 for two","M-18, Outer Circle, M Block, Connaught Place, New Delhi",919289072284,https://www.zomato.com/ncr/chido-connaught-place-new-delhi/info
Out Of The Box Courtyard,"Middle Circle, Connaught Place, New Delhi",4.1,2707,"Continental, North Indian, Italian, Pizza, Chinese, Asian, Fast Food, Beverages","₹2,200 for two","B 14/1-6, Middle Circle, Connaught Place, New Delhi",917701801223,https://www.zomato.com/ncr/out-of-the-box-courtyard-1-connaught-place-new-delhi/info
Lord Of The Drinks,"Outer Circle, Connaught Place, New Delhi",4.3,13K,"Oriental, North Indian, Continental, Italian, Salad, Fast Food, Desserts, Beverages","₹2,400 for two","G-72, 1st Floor, Outer Circle, Connaught Place, New Delhi",919999827144,https://www.zomato.com/ncr/lord-of-the-drinks-connaught-place-new-delhi/info
Warehouse Cafe,"Connaught Place, New Delhi",4.2,12.7K,"North Indian, Italian, Asian, Kebab, Beverages","₹2,400 for two","D 19/20, D Block, Inner Circle, Near Metro Station Gate 3, Connaught Place, New Delhi",919953033368,https://www.zomato.com/ncr/warehouse-cafe-connaught-place-new-delhi/info
Zurii Delhi,"Club Road, Punjabi Bagh, New Delhi",4.4,778,"North Indian, Asian, Chinese, Pasta, Pizza, Burger, Salad, Desserts","₹1,800 for two","25, 3rd Floor, NWA, Club Road, Punjabi Bagh, New Delhi",918988980505,https://www.zomato.com/ncr/zurii-delhi-1-punjabi-bagh-new-delhi/info
Khubani,"Aerocity, New Delhi",3.7,560,"Mediterranean, Modern Indian, Middle Eastern, Asian, Italian, Desserts","₹3,500 for two","1, Hospitality District, Aerocity, New Delhi",918069168800,https://www.zomato.com/ncr/khubani-aerocity-new-delhi/info
Sufiaana By Cherish,"Ashok Vihar Phase 2, New Delhi",4.4,615,"North Indian, Mediterranean, Asian, European, Chinese","₹2,000 for two","Upper Ground Floor, C-3-4, Pocket C 3, Ashok Vihar Phase 2, New Delhi",919355596661,https://www.zomato.com/ncr/sufiaana-by-cherish-ashok-vihar-phase-2-new-delhi/info
K3 - JW Marriott New Delhi,"JW Marriott New Delhi, Aerocity, New Delhi",4.4,1789,"North Indian, Cantonese, Italian, Asian, Desserts","₹5,000 for two","Asset Area 4, Hospitality District, Aerocity, New Delhi",911145212121,https://www.zomato.com/ncr/k3-jw-marriott-new-delhi-aerocity-new-delhi/info
MKT,"Chanakya Mall, Chanakyapuri, New Delhi",4.1,1676,"Asian, European, Japanese, North Indian, Mexican, Thai, Pizza, Pasta","₹3,000 for two","Lower Ground Floor, Chanakya Mall, Chanakyapuri, New Delhi",+91 8068971343,https://www.zomato.com/ncr/mkt-1-chanakyapuri-new-delhi/info
Cafe Wink,"Anand Vihar, New Delhi",4.4,4957,"Cafe, Continental, Italian, Fast Food, Sandwich, Pizza, Beverages, Desserts","₹1,000 for two","G-1, Plot 9, Sikka Galaxy, Shreshtha Vihar, Near Anand Vihar, New Delhi",911143596979,https://www.zomato.com/ncr/cafe-wink-anand-vihar-new-delhi/info
Kasso,"Moti Nagar, New Delhi",4.2,611,"Italian, Continental, Chinese, Sushi, North Indian, Seafood","₹1,800 for two","30, Shivaji Marg, Moti Nagar, New Delhi",919911378989,https://www.zomato.com/ncr/kasso-moti-nagar-new-delhi/info
Paparizza - Woodfired Pizzas,"Kailash Colony, New Delhi",4.1,241,"Pizza, Pasta, Salad, Desserts, Ice Cream, Continental","₹2,000 for two","7, Shop 1, 2, Ground Floor, Kailash Colony Market, Kailash Colony, New Delhi",919958202541,https://www.zomato.com/ncr/paparizza-woodfired-pizzas-kailash-colony-new-delhi/info
Green Mantis - Authentic Pan Asian,"Khan Market, New Delhi",4.5,695,"Asian, Chinese, Sushi, Desserts, Beverages","₹3,200 for two","19A, Khan Market, New Delhi",918448815375,https://www.zomato.com/ncr/green-mantis-authentic-pan-asian-khan-market-new-delhi/info
Chelvies Coffee,"Sector 53, Gurgaon",4.4,588,"Cafe, Coffee",₹600 for two,"Shop 12, Ground Floor, Central Plaza Mall, Sector 53, Gurgaon",918287814194,https://www.zomato.com/ncr/chelvies-coffee-sector-53-gurgaon/info
